"bin_index","bin_from","bin_to","interpolation","interval_type"
408,0.00748,0.007584,0.007532,1201
409,0.007584,0.007689,0.0076365,1201
410,0.007689,0.007796,0.0077425,1201
411,0.007796,0.007905,0.0078505,1201
412,0.007905,0.008015,0.00796,1201
413,0.008015,0.008127,0.008071,1201
414,0.008127,0.00824,0.0081835,1201
415,0.00824,0.008355,0.0082975,1201
416,0.008355,0.008471,0.008413,1201
417,0.008471,0.008589,0.00853,1201
418,0.008589,0.008708,0.0086485,1201
419,0.008708,0.00883,0.008769,1201
420,0.00883,0.008953,0.0088915,1201
421,0.008953,0.009077,0.009015,1201
422,0.009077,0.009204,0.0091405,1201
423,0.009204,0.009332,0.009268,1201
424,0.009332,0.009462,0.009397,1201
425,0.009462,0.009594,0.009528,1201
426,0.009594,0.009727,0.0096605,1201
427,0.009727,0.009863,0.009795,1201
428,0.009863,0.01,0.0099315,1201
429,0.01,0.010139,0.0100695,1201
430,0.010139,0.01028,0.0102095,1201
431,0.01028,0.010424,0.010352,1201
432,0.010424,0.010569,0.0104965,1201
433,0.010569,0.010716,0.0106425,1201
434,0.010716,0.010865,0.0107905,1201
435,0.010865,0.011016,0.0109405,1201
436,0.011016,0.01117,0.011093,1201
437,0.01117,0.011325,0.0112475,1201
438,0.011325,0.011483,0.011404,1201
439,0.011483,0.011643,0.011563,1201
440,0.011643,0.011805,0.011724,1201
441,0.011805,0.01197,0.0118875,1201
442,0.01197,0.012136,0.012053,1201
443,0.012136,0.012305,0.0122205,1201
444,0.012305,0.012477,0.012391,1201
445,0.012477,0.01265,0.0125635,1201
446,0.01265,0.012826,0.012738,1201
447,0.012826,0.013005,0.0129155,1201
448,0.013005,0.013186,0.0130955,1201
449,0.013186,0.01337,0.013278,1201
450,0.01337,0.013556,0.013463,1201
451,0.013556,0.013745,0.0136505,1201
452,0.013745,0.013936,0.0138405,1201
453,0.013936,0.01413,0.014033,1201
454,0.01413,0.014327,0.0142285,1201
455,0.014327,0.014527,0.014427,1201
456,0.014527,0.014729,0.014628,1201
457,0.014729,0.014934,0.0148315,1201
458,0.014934,0.015142,0.015038,1201
459,0.015142,0.015353,0.0152475,1201
460,0.015353,0.015567,0.01546,1201
461,0.015567,0.015783,0.015675,1201
462,0.015783,0.016003,0.015893,1201
463,0.016003,0.016226,0.0161145,1201
464,0.016226,0.016452,0.016339,1201
465,0.016452,0.016681,0.0165665,1201
466,0.016681,0.016913,0.016797,1201
467,0.016913,0.017149,0.017031,1201
468,0.017149,0.017388,0.0172685,1201
469,0.017388,0.01763,0.017509,1201
470,0.01763,0.017875,0.0177525,1201
471,0.017875,0.018124,0.0179995,1201
472,0.018124,0.018377,0.0182505,1201
473,0.018377,0.018632,0.0185045,1201
474,0.018632,0.018892,0.018762,1201
475,0.018892,0.019155,0.0190235,1201
476,0.019155,0.019422,0.0192885,1201
477,0.019422,0.019692,0.019557,1201
478,0.019692,0.019966,0.019829,1201
479,0.019966,0.020244,0.020105,1201
480,0.020244,0.020526,0.020385,1201
481,0.020526,0.020812,0.020669,1201
482,0.020812,0.021102,0.020957,1201
483,0.021102,0.021396,0.021249,1201
484,0.021396,0.021694,0.021545,1201
485,0.021694,0.021996,0.021845,1201
486,0.021996,0.022302,0.022149,1201
487,0.022302,0.022613,0.0224575,1201
488,0.022613,0.022928,0.0227705,1201
489,0.022928,0.023247,0.0230875,1201
490,0.023247,0.023571,0.023409,1201
491,0.023571,0.023899,0.023735,1201
492,0.023899,0.024232,0.0240655,1201
493,0.024232,0.024569,0.0244005,1201
494,0.024569,0.024911,0.02474,1201
495,0.024911,0.025258,0.0250845,1201
496,0.025258,0.02561,0.025434,1201
497,0.02561,0.025967,0.0257885,1201
498,0.025967,0.026328,0.0261475,1201
499,0.026328,0.026695,0.0265115,1201
500,0.026695,0.027067,0.026881,1201
501,0.027067,0.027443,0.027255,1201
502,0.027443,0.027826,0.0276345,1201
503,0.027826,0.028213,0.0280195,1201
504,0.028213,0.028606,0.0284095,1201
505,0.028606,0.029004,0.028805,1201
506,0.029004,0.029408,0.029206,1201
507,0.029408,0.029818,0.029613,1201
508,0.029818,0.030233,0.0300255,1201
509,0.030233,0.030654,0.0304435,1201
510,0.030654,0.031081,0.0308675,1201
511,0.031081,0.031514,0.0312975,1201
512,0.031514,0.031952,0.031733,1201
513,0.031952,0.032397,0.0321745,1201
514,0.032397,0.032849,0.032623,1201
515,0.032849,0.033306,0.0330775,1201
516,0.033306,0.03377,0.033538,1201
517,0.03377,0.03424,0.034005,1201
518,0.03424,0.034717,0.0344785,1201
519,0.034717,0.0352,0.0349585,1201
520,0.0352,0.03569,0.035445,1201
521,0.03569,0.036187,0.0359385,1201
522,0.036187,0.036691,0.036439,1201
523,0.036691,0.037202,0.0369465,1201
524,0.037202,0.03772,0.037461,1201
525,0.03772,0.038246,0.037983,1201
526,0.038246,0.038778,0.038512,1201
527,0.038778,0.039318,0.039048,1201
528,0.039318,0.039866,0.039592,1201
529,0.039866,0.040421,0.0401435,1201
530,0.040421,0.040984,0.0407025,1201
531,0.040984,0.041555,0.0412695,1201
532,0.041555,0.042133,0.041844,1201
533,0.042133,0.04272,0.0424265,1201
534,0.04272,0.043315,0.0430175,1201
535,0.043315,0.043918,0.0436165,1201
536,0.043918,0.04453,0.044224,1201
537,0.04453,0.04515,0.04484,1201
538,0.04515,0.045778,0.045464,1201
539,0.045778,0.046416,0.046097,1201
540,0.046416,0.047062,0.046739,1201
541,0.047062,0.047718,0.04739,1201
542,0.047718,0.048382,0.04805,1201
543,0.048382,0.049056,0.048719,1201
544,0.049056,0.049739,0.0493975,1201
545,0.049739,0.050432,0.0500855,1201
546,0.050432,0.051134,0.050783,1201
547,0.051134,0.051846,0.05149,1201
548,0.051846,0.052568,0.052207,1201
549,0.052568,0.0533,0.052934,1201
550,0.0533,0.054042,0.053671,1201
551,0.054042,0.054795,0.0544185,1201
552,0.054795,0.055558,0.0551765,1201
553,0.055558,0.056331,0.0559445,1201
554,0.056331,0.057116,0.0567235,1201
555,0.057116,0.057911,0.0575135,1201
556,0.057911,0.058718,0.0583145,1201
557,0.058718,0.059535,0.0591265,1201
558,0.059535,0.060364,0.0599495,1201
559,0.060364,0.061205,0.0607845,1201
560,0.061205,0.062057,0.061631,1201
561,0.062057,0.062921,0.062489,1201
562,0.062921,0.063798,0.0633595,1201
563,0.063798,0.064686,0.064242,1201
564,0.064686,0.065587,0.0651365,1201
565,0.065587,0.0665,0.0660435,1201
566,0.0665,0.067426,0.066963,1201
567,0.067426,0.068365,0.0678955,1201
568,0.068365,0.069317,0.068841,1201
569,0.069317,0.070282,0.0697995,1201
570,0.070282,0.071261,0.0707715,1201
571,0.071261,0.072253,0.071757,1201
572,0.072253,0.07326,0.0727565,1201
573,0.07326,0.07428,0.07377,1201
574,0.07428,0.075314,0.074797,1201
575,0.075314,0.076363,0.0758385,1201
576,0.076363,0.077426,0.0768945,1201
577,0.077426,0.078505,0.0779655,1201
578,0.078505,0.079598,0.0790515,1201
579,0.079598,0.080706,0.080152,1201
580,0.080706,0.08183,0.081268,1201
581,0.08183,0.08297,0.0824,1201
582,0.08297,0.084125,0.0835475,1201
583,0.084125,0.085296,0.0847105,1201
584,0.085296,0.086484,0.08589,1201
585,0.086484,0.087689,0.0870865,1201
586,0.087689,0.08891,0.0882995,1201
587,0.08891,0.090148,0.089529,1201
588,0.090148,0.091403,0.0907755,1201
589,0.091403,0.092676,0.0920395,1201
590,0.092676,0.093966,0.093321,1201
591,0.093966,0.095275,0.0946205,1201
592,0.095275,0.096602,0.0959385,1201
593,0.096602,0.097947,0.0972745,1201
594,0.097947,0.099311,0.098629,1201
595,0.099311,0.100694,0.1000025,1201
596,0.100694,0.102096,0.101395,1201
597,0.102096,0.103518,0.102807,1201
598,0.103518,0.104959,0.1042385,1201
599,0.104959,0.106421,0.10569,1201
600,0.106421,0.107903,0.107162,1201
601,0.107903,0.109405,0.108654,1201
602,0.109405,0.110929,0.110167,1201
603,0.110929,0.112474,0.1117015,1201
604,0.112474,0.11404,0.113257,1201
605,0.11404,0.115628,0.114834,1201
606,0.115628,0.117238,0.116433,1201
607,0.117238,0.118871,0.1180545,1201
608,0.118871,0.120526,0.1196985,1201
609,0.120526,0.122204,0.121365,1201
610,0.122204,0.123906,0.123055,1201
611,0.123906,0.125632,0.124769,1201
612,0.125632,0.127381,0.1265065,1201
613,0.127381,0.129155,0.128268,1201
614,0.129155,0.130954,0.1300545,1201
615,0.130954,0.132777,0.1318655,1201
616,0.132777,0.134626,0.1337015,1201
617,0.134626,0.136501,0.1355635,1201
618,0.136501,0.138402,0.1374515,1201
619,0.138402,0.140329,0.1393655,1201
620,0.140329,0.142283,0.141306,1201
621,0.142283,0.144264,0.1432735,1201
622,0.144264,0.146273,0.1452685,1201
623,0.146273,0.14831,0.1472915,1201
624,0.14831,0.150376,0.149343,1201
625,0.150376,0.15247,0.151423,1201
626,0.15247,0.154593,0.1535315,1201
627,0.154593,0.156746,0.1556695,1201
628,0.156746,0.158928,0.157837,1201
629,0.158928,0.161141,0.1600345,1201
630,0.161141,0.163385,0.162263,1201
631,0.163385,0.165661,0.164523,1201
632,0.165661,0.167967,0.166814,1201
633,0.167967,0.170307,0.169137,1201
634,0.170307,0.172678,0.1714925,1201
635,0.172678,0.175083,0.1738805,1201
636,0.175083,0.177521,0.176302,1201
637,0.177521,0.179993,0.178757,1201
638,0.179993,0.182499,0.181246,1201
639,0.182499,0.185041,0.18377,1201
640,0.185041,0.187617,0.186329,1201
641,0.187617,0.19023,0.1889235,1201
642,0.19023,0.192879,0.1915545,1201
643,0.192879,0.195565,0.194222,1201
644,0.195565,0.198288,0.1969265,1201
645,0.198288,0.20105,0.199669,1201
646,0.20105,0.203849,0.2024495,1201
647,0.203849,0.206688,0.2052685,1201
648,0.206688,0.209566,0.208127,1201
649,0.209566,0.212485,0.2110255,1201
650,0.212485,0.215443,0.213964,1201
651,0.215443,0.218444,0.2169435,1201
652,0.218444,0.221486,0.219965,1201
653,0.221486,0.22457,0.223028,1201
654,0.22457,0.227697,0.2261335,1201
655,0.227697,0.230868,0.2292825,1201
