areaperil_id,lat,lon,IMTs
478,18.81349,-71.00833,SA(0.6)
479,19.20313,-69.82603,SA(0.3)
480,19.49702,-70.52434,SA(0.6)
481,18.41372,-70.89891,SA(0.6)
482,19.43586,-70.5703,PGA
483,19.43586,-70.5703,SA(0.3)
484,18.41397,-70.03485,SA(0.3)
485,18.92891,-70.49047,SA(0.6)
486,18.98613,-69.71949,SA(0.3)
487,19.55278,-70.74754,SA(0.3)
488,19.20972,-70.1321,SA(0.3)
489,19.40577,-70.85905,SA(0.6)
490,19.41349,-71.1707,SA(0.6)
491,18.83902,-70.48905,PGA
492,18.83902,-70.48905,SA(0.3)
493,18.60637,-71.64818,SA(0.6)
494,19.26877,-69.88425,SA(0.3)
495,19.18317,-70.90982,SA(0.6)
496,19.26877,-69.88425,PGA
497,19.70826,-70.5926,PGA
498,19.3996,-70.64241,SA(1.0)
499,18.48504,-69.26954,SA(0.6)
500,19.18959,-69.95229,SA(0.6)
501,18.1999,-71.24659,SA(0.3)
502,19.04976,-70.82268,SA(0.3)
503,19.10217,-69.86303,SA(0.6)
504,18.45143,-70.72964,PGA
505,18.53626,-70.15541,PGA
506,18.42605,-71.25716,SA(0.6)
507,18.6617,-68.47696,SA(1.0)
508,19.00642,-69.96251,SA(0.3)
509,18.64121,-68.57698,SA(1.0)
510,18.53465,-70.64852,SA(0.6)
511,19.28578,-69.5546,SA(0.3)
512,19.76251,-70.86653,SA(0.3)
513,19.28578,-69.5546,PGA
514,18.38663,-70.73844,SA(0.3)
515,18.44624,-69.67193,PGA
516,19.4419,-70.78402,PGA
517,18.53074,-71.5629,SA(0.6)
518,19.13446,-70.01221,PGA
519,18.27707,-71.42781,SA(0.6)
520,19.54514,-70.79141,SA(1.0)
521,18.35669,-71.20959,SA(0.6)
522,18.44856,-70.18399,PGA
523,19.37696,-70.60209,SA(0.6)
524,19.06479,-70.46181,SA(0.6)
525,19.4419,-70.78402,SA(0.3)
526,18.58585,-71.88479,SA(0.6)
527,18.73797,-70.24859,SA(0.6)
528,19.42373,-70.64409,SA(1.0)
529,18.86427,-69.07946,PGA
530,19.15991,-70.05499,SA(0.3)
531,19.83215,-70.94996,SA(0.6)
532,19.29672,-70.39116,SA(0.6)
533,19.60131,-70.79519,SA(0.3)
534,19.60131,-70.79519,PGA
535,18.74869,-69.35623,SA(0.6)
536,18.30367,-70.26244,SA(0.3)
537,18.40751,-70.82792,PGA
538,18.56477,-70.03498,PGA
539,18.29398,-71.29456,PGA
540,19.19197,-71.47223,SA(0.3)
541,18.35375,-70.46576,SA(0.6)
542,18.36143,-71.08575,SA(0.3)
543,19.36772,-70.57581,PGA
544,18.45143,-70.72964,SA(1.0)
545,18.59312,-70.32507,PGA
546,18.84797,-70.37647,SA(0.3)
547,18.97917,-70.29737,PGA
548,19.49151,-71.62539,SA(0.3)
549,18.92032,-71.46383,PGA
550,18.65147,-71.3268,SA(0.6)
551,18.52219,-69.99898,SA(0.3)
552,19.54514,-70.79141,SA(0.6)
553,18.64121,-68.57698,SA(0.3)
554,18.39985,-71.58429,SA(0.3)
555,18.96556,-70.13268,SA(1.0)
556,19.51623,-70.30794,SA(0.6)
557,19.0039,-71.49338,PGA
558,19.20313,-69.82603,PGA
559,18.40614,-68.99109,SA(0.3)
560,18.42521,-70.71002,PGA
561,18.48491,-69.94175,PGA
562,19.49478,-70.9451,SA(0.3)
563,19.71732,-71.49589,SA(0.3)
564,18.50177,-69.56508,SA(0.3)
565,19.72995,-70.43584,SA(1.0)
566,18.5359,-71.50239,SA(0.6)
567,18.40551,-70.12264,SA(0.3)
568,19.13316,-70.19852,SA(0.3)
569,18.38189,-71.48184,SA(0.6)
570,18.35375,-70.46576,PGA
571,18.97742,-70.42073,SA(1.0)
572,18.46366,-69.02002,SA(0.6)
573,18.31468,-71.04916,SA(0.6)
574,18.92032,-71.46383,SA(0.3)
575,18.95406,-71.01431,SA(0.6)
576,19.26917,-70.64928,SA(0.6)
577,19.54514,-70.79141,PGA
578,18.53035,-71.3046,PGA
579,18.17174,-71.11669,SA(1.0)
580,18.94141,-69.06776,SA(0.6)
581,18.7911,-71.39556,PGA
582,18.27707,-71.42781,PGA
583,18.31039,-70.53866,SA(0.3)
584,18.24709,-70.21398,PGA
585,19.29672,-70.39116,SA(1.0)
