areaperil_id,lon,lat,IMTs
551,-71.3,19.3,SA(0.3)
552,-71.3,19.35,SA(0.3)
553,-71.3,19.4,SA(0.3)
554,-71.3,19.45,SA(0.3)
555,-71.3,19.5,SA(0.3)
556,-71.3,19.55,SA(0.3)
557,-71.3,19.6,SA(0.3)
558,-71.3,19.65,SA(0.3)
559,-71.3,19.7,SA(0.3)
560,-71.3,19.75,SA(0.3)
561,-71.3,19.8,SA(0.3)
562,-71.3,19.85,SA(0.3)
563,-71.3,19.9,SA(0.3)
564,-71.25,17.7,SA(0.3)
565,-71.25,17.75,SA(0.3)
566,-71.25,17.8,SA(0.3)
567,-71.25,17.85,SA(0.3)
568,-71.25,17.9,SA(0.3)
569,-71.25,17.95,SA(0.3)
570,-71.25,18.0,SA(0.3)
571,-71.25,18.05,SA(0.3)
572,-71.25,18.1,SA(0.3)
573,-71.25,18.15,SA(0.3)
574,-71.25,18.2,SA(0.3)
575,-71.25,18.25,SA(0.3)
576,-71.25,18.3,SA(0.3)
577,-71.25,18.35,SA(0.3)
578,-71.25,18.4,SA(0.3)
579,-71.25,18.45,SA(0.3)
580,-71.25,18.5,SA(0.3)
581,-71.25,18.55,SA(0.3)
582,-71.25,18.6,SA(0.3)
583,-71.25,18.65,SA(0.3)
584,-71.25,18.7,SA(0.3)
585,-71.25,18.75,SA(0.3)
586,-71.25,18.8,SA(0.3)
587,-71.25,18.85,SA(0.3)
588,-71.25,18.9,SA(0.3)
589,-71.25,18.95,SA(0.3)
590,-71.25,19.0,SA(0.3)
591,-71.25,19.05,SA(0.3)
592,-71.25,19.1,SA(0.3)
593,-71.25,19.15,SA(0.3)
594,-71.25,19.2,SA(0.3)
595,-71.25,19.25,SA(0.3)
596,-71.25,19.3,SA(0.3)
597,-71.25,19.35,SA(0.3)
598,-71.25,19.4,SA(0.3)
599,-71.25,19.45,SA(0.3)
600,-71.25,19.5,SA(0.3)
601,-71.25,19.55,SA(0.3)
602,-71.25,19.6,SA(0.3)
603,-71.25,19.65,SA(0.3)
604,-71.25,19.7,SA(0.3)
605,-71.25,19.75,SA(0.3)
606,-71.25,19.8,SA(0.3)
607,-71.25,19.85,SA(0.3)
608,-71.25,19.9,SA(0.3)
609,-71.2,17.8,SA(0.3)
610,-71.2,17.85,SA(0.3)
611,-71.2,17.9,SA(0.3)
612,-71.2,17.95,SA(0.3)
613,-71.2,18.0,SA(0.3)
614,-71.2,18.05,SA(0.3)
615,-71.2,18.1,SA(0.3)
616,-71.2,18.15,SA(0.3)
617,-71.2,18.2,SA(0.3)
618,-71.2,18.25,SA(0.3)
619,-71.2,18.3,SA(0.3)
620,-71.2,18.35,SA(0.3)
621,-71.2,18.4,SA(0.3)
622,-71.2,18.45,SA(0.3)
623,-71.2,18.5,SA(0.3)
624,-71.2,18.55,SA(0.3)
625,-71.2,18.6,SA(0.3)
626,-71.2,18.65,SA(0.3)
627,-71.2,18.7,SA(0.3)
628,-71.2,18.75,SA(0.3)
629,-71.2,18.8,SA(0.3)
630,-71.2,18.85,SA(0.3)
631,-71.2,18.9,SA(0.3)
632,-71.2,18.95,SA(0.3)
633,-71.2,19.0,SA(0.3)
634,-71.2,19.05,SA(0.3)
635,-71.2,19.1,SA(0.3)
636,-71.2,19.15,SA(0.3)
637,-71.2,19.2,SA(0.3)
638,-71.2,19.25,SA(0.3)
639,-71.2,19.3,SA(0.3)
640,-71.2,19.35,SA(0.3)
641,-71.2,19.4,SA(0.3)
642,-71.2,19.45,SA(0.3)
643,-71.2,19.5,SA(0.3)
644,-71.2,19.55,SA(0.3)
645,-71.2,19.6,SA(0.3)
646,-71.2,19.65,SA(0.3)
647,-71.2,19.7,SA(0.3)
648,-71.2,19.75,SA(0.3)
649,-71.2,19.8,SA(0.3)
650,-71.2,19.85,SA(0.3)
651,-71.2,19.9,SA(0.3)
652,-71.15,17.85,SA(0.3)
653,-71.15,17.9,SA(0.3)
654,-71.15,17.95,SA(0.3)
655,-71.15,18.0,SA(0.3)
656,-71.15,18.05,SA(0.3)
657,-71.15,18.1,SA(0.3)
658,-71.15,18.15,SA(0.3)
659,-71.15,18.2,SA(0.3)
660,-71.15,18.25,SA(0.3)
661,-71.15,18.3,SA(0.3)
662,-71.15,18.35,SA(0.3)
663,-71.15,18.4,SA(0.3)
664,-71.15,18.45,SA(0.3)
665,-71.15,18.5,SA(0.3)
666,-71.15,18.55,SA(0.3)
667,-71.15,18.6,SA(0.3)
668,-71.15,18.65,SA(0.3)
669,-71.15,18.7,SA(0.3)
670,-71.15,18.75,SA(0.3)
671,-71.15,18.8,SA(0.3)
672,-71.15,18.85,SA(0.3)
673,-71.15,18.9,SA(0.3)
674,-71.15,18.95,SA(0.3)
675,-71.15,19.0,SA(0.3)
676,-71.15,19.05,SA(0.3)
677,-71.15,19.1,SA(0.3)
678,-71.15,19.15,SA(0.3)
679,-71.15,19.2,SA(0.3)
680,-71.15,19.25,SA(0.3)
681,-71.15,19.3,SA(0.3)
682,-71.15,19.35,SA(0.3)
683,-71.15,19.4,SA(0.3)
684,-71.15,19.45,SA(0.3)
685,-71.15,19.5,SA(0.3)
686,-71.15,19.55,SA(0.3)
687,-71.15,19.6,SA(0.3)
688,-71.15,19.65,SA(0.3)
689,-71.15,19.7,SA(0.3)
690,-71.15,19.75,SA(0.3)
691,-71.15,19.8,SA(0.3)
692,-71.15,19.85,SA(0.3)
693,-71.15,19.9,SA(0.3)
694,-71.15,19.95,SA(0.3)
695,-71.1,17.9,SA(0.3)
696,-71.1,17.95,SA(0.3)
697,-71.1,18.0,SA(0.3)
698,-71.1,18.05,SA(0.3)
699,-71.1,18.1,SA(0.3)
700,-71.1,18.15,SA(0.3)
701,-71.1,18.2,SA(0.3)
702,-71.1,18.25,SA(0.3)
703,-71.1,18.3,SA(0.3)
704,-71.1,18.35,SA(0.3)
705,-71.1,18.4,SA(0.3)
706,-71.1,18.45,SA(0.3)
707,-71.1,18.5,SA(0.3)
708,-71.1,18.55,SA(0.3)
709,-71.1,18.6,SA(0.3)
710,-71.1,18.65,SA(0.3)
711,-71.1,18.7,SA(0.3)
712,-71.1,18.75,SA(0.3)
713,-71.1,18.8,SA(0.3)
714,-71.1,18.85,SA(0.3)
715,-71.1,18.9,SA(0.3)
716,-71.1,18.95,SA(0.3)
717,-71.1,19.0,SA(0.3)
718,-71.1,19.05,SA(0.3)
719,-71.1,19.1,SA(0.3)
720,-71.1,19.15,SA(0.3)
721,-71.1,19.2,SA(0.3)
722,-71.1,19.25,SA(0.3)
723,-71.1,19.3,SA(0.3)
724,-71.1,19.35,SA(0.3)
725,-71.1,19.4,SA(0.3)
726,-71.1,19.45,SA(0.3)
